Country,Code,Year,Share of the richest decile in total income or expenditure
Albania,ALB,1996,21.21557313
Albania,ALB,2002,25.43563695
Albania,ALB,2005,24.3411681
Albania,ALB,2008,24.4583109
Albania,ALB,2012,22.93433964
Albania,ALB,2014,25.5443224
Albania,ALB,2015,24.77930791
Albania,ALB,2016,25.04955458
Albania,ALB,2017,24.61243013
Albania,ALB,2018,22.74231233
Albania,ALB,2019,23.75788003
Algeria,DZA,1988,32.81236515
Algeria,DZA,1995,26.88858566
Algeria,DZA,2011,22.86235803
Angola,AGO,2000,40.24551558
Angola,AGO,2008,32.3117339
Angola,AGO,2018,39.62442597
Argentina - urban,,1980,30.17537072
Argentina - urban,,1986,32.20808276
Argentina - urban,,1987,34.2518897
Argentina - urban,,1991,36.60929129
Argentina - urban,,1992,34.28712165
Argentina - urban,,1993,33.2013892
Argentina - urban,,1994,34.44659696
Argentina - urban,,1995,36.97560343
Argentina - urban,,1996,36.88060654
Argentina - urban,,1997,36.37426934
Argentina - urban,,1998,38.05133958
Argentina - urban,,1999,37.04826959
Argentina - urban,,2000,37.70048652
Argentina - urban,,2001,39.47738588
Argentina - urban,,2002,40.50619021
Argentina - urban,,2003,37.68532395
Argentina - urban,,2004,35.2359936
Argentina - urban,,2005,34.89429285
Argentina - urban,,2006,33.73475466
Argentina - urban,,2007,33.67226342
Argentina - urban,,2008,32.4076002
Argentina - urban,,2009,31.24950316
Argentina - urban,,2010,31.70011079
Argentina - urban,,2011,30.95709935
Argentina - urban,,2012,29.68324251
Argentina - urban,,2013,29.37188849
Argentina - urban,,2014,29.92117818
Argentina - urban,,2016,30.41932492
Argentina - urban,,2017,29.70441964
Argentina - urban,,2018,29.83020878
Argentina - urban,,2019,31.01456863
Argentina - urban,,2020,30.30282523
Armenia,ARM,1996,35.22151334
Armenia,ARM,1999,29.62717127
Armenia,ARM,2001,29.0967396
Armenia,ARM,2002,28.99934488
Armenia,ARM,2003,28.19694775
Armenia,ARM,2004,31.68836838
Armenia,ARM,2005,30.77605822
Armenia,ARM,2006,24.45401246
Armenia,ARM,2007,25.12137998
Armenia,ARM,2008,23.69014965
Armenia,ARM,2009,22.91877485
Armenia,ARM,2010,25.03390048
Armenia,ARM,2011,23.96658047
Armenia,ARM,2012,24.54022156
Armenia,ARM,2013,24.6854642
Armenia,ARM,2014,25.74396952
Armenia,ARM,2015,26.73505642
Armenia,ARM,2016,25.28166085
Armenia,ARM,2017,28.36886474
Armenia,ARM,2018,29.19937859
Armenia,ARM,2019,25.09367784
Armenia,ARM,2020,21.47339633
Australia,AUS,1981,23.30163624
Australia,AUS,1985,24.28965666
Australia,AUS,1989,24.66685465
Australia,AUS,1995,24.601701
Australia,AUS,2001,25.06563007
Australia,AUS,2003,25.0828897
Australia,AUS,2004,25.31601672
Australia,AUS,2008,27.41556767
Australia,AUS,2010,26.45799459
Australia,AUS,2014,26.98347051
Australia,AUS,2016,25.80829233
Australia,AUS,2018,26.61339078
Austria,AUT,1987,19.28832075
Austria,AUT,1994,24.5904133
Austria,AUT,1995,22.40929673
Austria,AUT,1997,23.4422522
Austria,AUT,2000,22.71387978
Austria,AUT,2003,23.46903271
Austria,AUT,2004,23.84290911
Austria,AUT,2005,22.84990511
Austria,AUT,2006,23.711891
Austria,AUT,2007,23.84866421
Austria,AUT,2008,24.10980113
Austria,AUT,2009,24.68330816
Austria,AUT,2010,23.56797794
Austria,AUT,2011,23.6869972
Austria,AUT,2012,23.44865883
Austria,AUT,2013,24.27598451
Austria,AUT,2014,24.06755689
Austria,AUT,2015,23.84265552
Austria,AUT,2016,23.84869402
Austria,AUT,2017,22.99201356
Austria,AUT,2018,23.91724204
Austria,AUT,2019,23.21370513
Azerbaijan,AZE,1995,26.77216719
Azerbaijan,AZE,2001,29.50724853
Azerbaijan,AZE,2002,23.18553406
Azerbaijan,AZE,2003,23.58696289
Azerbaijan,AZE,2004,24.35157531
Azerbaijan,AZE,2005,24.18411233
Bangladesh,BGD,1983,21.86562999
Bangladesh,BGD,1988,24.58222991
Bangladesh,BGD,1991,23.2878692
Bangladesh,BGD,1995,28.08297238
Bangladesh,BGD,2000,27.86374163
Bangladesh,BGD,2005,27.99544777
Bangladesh,BGD,2010,26.9253562
Bangladesh,BGD,2016,26.83507218
Belarus,BLR,1993,19.40481376
Belarus,BLR,1995,22.54968054
Belarus,BLR,1998,24.91442457
Belarus,BLR,1999,24.03558477
Belarus,BLR,2000,24.04126751
Belarus,BLR,2001,23.99433133
Belarus,BLR,2002,24.02110195
Belarus,BLR,2003,22.63499886
Belarus,BLR,2004,21.35055994
Belarus,BLR,2005,21.80237616
Belarus,BLR,2006,22.40242334
Belarus,BLR,2007,23.57022248
Belarus,BLR,2008,22.33080382
Belarus,BLR,2009,22.57626625
Belarus,BLR,2010,22.8535863
Belarus,BLR,2011,21.85466944
Belarus,BLR,2012,21.79687064
Belarus,BLR,2013,22.05884112
Belarus,BLR,2014,22.56509809
Belarus,BLR,2015,21.21172714
Belarus,BLR,2016,21.26921394
Belarus,BLR,2017,21.27941326
Belarus,BLR,2018,21.39826554
Belarus,BLR,2019,21.32320582
Belarus,BLR,2020,20.72852037
Belgium,BEL,1985,20.64184007
Belgium,BEL,1988,21.07165782
Belgium,BEL,1992,20.13567057
Belgium,BEL,1995,22.84579761
Belgium,BEL,1997,21.56831807
Belgium,BEL,2000,28.31398604
Belgium,BEL,2003,22.24552603
Belgium,BEL,2004,25.11692331
Belgium,BEL,2005,23.87669348
Belgium,BEL,2006,22.40986585
Belgium,BEL,2007,23.54219049
Belgium,BEL,2008,22.72453969
Belgium,BEL,2009,22.70916252
Belgium,BEL,2010,22.74228878
Belgium,BEL,2011,22.35160749
Belgium,BEL,2012,21.93682914
Belgium,BEL,2013,21.82653105
Belgium,BEL,2014,22.41917749
Belgium,BEL,2015,22.22709613
Belgium,BEL,2016,22.15737265
Belgium,BEL,2017,21.94677627
Belgium,BEL,2018,22.24361822
Belgium,BEL,2019,22.31832974
Belize,BLZ,1993,51.14041188
Belize,BLZ,1994,52.51856382
Belize,BLZ,1995,44.12202909
Belize,BLZ,1996,46.54638955
Belize,BLZ,1997,50.30584212
Belize,BLZ,1998,43.70889215
Belize,BLZ,1999,42.43645336
Benin,BEN,2003,31.11584258
Benin,BEN,2011,34.47828985
Benin,BEN,2015,37.62400758
Benin,BEN,2018,29.87756721
Bhutan,BTN,2003,32.21764764
Bhutan,BTN,2007,29.36851312
Bhutan,BTN,2012,30.73817953
Bhutan,BTN,2017,27.93155408
Bolivia,BOL,1997,45.36248761
Bolivia,BOL,1999,42.60368144
Bolivia,BOL,2000,47.84049076
Bolivia,BOL,2001,44.15981085
Bolivia,BOL,2002,46.61495094
Bolivia,BOL,2004,43.91631173
Bolivia,BOL,2005,45.26919552
Bolivia,BOL,2006,43.5610565
Bolivia,BOL,2007,41.85604984
Bolivia,BOL,2008,38.54018488
Bolivia,BOL,2009,36.91911804
Bolivia,BOL,2011,33.68712902
Bolivia,BOL,2012,33.67144631
Bolivia,BOL,2013,35.2243725
Bolivia,BOL,2014,36.04517805
Bolivia,BOL,2015,34.79842603
Bolivia,BOL,2016,32.42976317
Bolivia,BOL,2017,32.0047253
Bolivia,BOL,2018,30.58844643
Bolivia,BOL,2019,30.84800091
Bolivia,BOL,2020,32.57501343
Bolivia - urban,,1990,31.74087018
Bolivia - urban,,1992,39.17012321
Bosnia and Herzegovina,BIH,2001,24.82351299
Bosnia and Herzegovina,BIH,2004,26.35670663
Bosnia and Herzegovina,BIH,2007,25.11303162
Bosnia and Herzegovina,BIH,2011,25.14310239
Botswana,BWA,1985,42.93086847
Botswana,BWA,1993,51.20005808
Botswana,BWA,2002,53.08274553
Botswana,BWA,2009,49.61344802
Botswana,BWA,2015,41.47603335
Brazil,BRA,1981,45.88057952
Brazil,BRA,1982,46.23349328
Brazil,BRA,1983,46.79312159
Brazil,BRA,1984,46.53019173
Brazil,BRA,1985,42.54930146
Brazil,BRA,1986,46.56882029
Brazil,BRA,1987,47.38407454
Brazil,BRA,1988,49.19049326
Brazil,BRA,1989,51.14934588
Brazil,BRA,1990,48.07811422
Brazil,BRA,1992,39.68669814
Brazil,BRA,1993,48.45445096
Brazil,BRA,1995,47.54386478
Brazil,BRA,1996,47.3513538
Brazil,BRA,1997,47.39163613
Brazil,BRA,1998,47.59190964
Brazil,BRA,1999,47.00050782
Brazil,BRA,2001,46.09611016
Brazil,BRA,2002,46.13413065
Brazil,BRA,2003,45.41353421
Brazil,BRA,2004,44.53827407
Brazil,BRA,2005,44.6348619
Brazil,BRA,2006,44.05685781
Brazil,BRA,2007,43.19421571
Brazil,BRA,2008,42.49895192
Brazil,BRA,2009,42.1839808
Brazil,BRA,2011,41.71086922
Brazil,BRA,2012,42.38646095
Brazil,BRA,2013,41.73824183
Brazil,BRA,2014,41.04911407
Brazil,BRA,2015,40.85494826
Brazil,BRA,2016,42.02827438
Brazil,BRA,2017,41.98302717
Brazil,BRA,2018,42.45251968
Brazil,BRA,2019,41.92336596
Brazil,BRA,2020,39.44602162
Bulgaria,BGR,1989,20.02824913
Bulgaria,BGR,1992,24.74236238
Bulgaria,BGR,1994,20.99201997
Bulgaria,BGR,1995,26.35993604
Bulgaria,BGR,1997,22.76896962
Bulgaria,BGR,2001,24.92648147
Bulgaria,BGR,2003,23.63102442
Bulgaria,BGR,2006,26.55836731
Bulgaria,BGR,2007,22.15735179
Bulgaria,BGR,2008,25.67335254
Bulgaria,BGR,2009,25.68849182
Bulgaria,BGR,2010,26.90783052
Bulgaria,BGR,2011,26.03113801
Bulgaria,BGR,2012,27.38168966
Bulgaria,BGR,2013,27.57912435
Bulgaria,BGR,2014,28.80331581
Bulgaria,BGR,2015,28.73620053
Bulgaria,BGR,2016,31.43963824
Bulgaria,BGR,2017,31.88040592
Bulgaria,BGR,2018,32.61934793
Bulgaria,BGR,2019,31.40421368
Burkina Faso,BFA,1994,39.4689136
Burkina Faso,BFA,1998,42.74456248
Burkina Faso,BFA,2003,33.77974729
Burkina Faso,BFA,2009,32.04796096
Burkina Faso,BFA,2014,29.60129839
Burkina Faso,BFA,2018,37.5236788
Burundi,BDI,1992,26.58476054
Burundi,BDI,1998,32.70388158
Burundi,BDI,2006,27.96994191
Burundi,BDI,2013,31.02453208
Cameroon,CMR,1996,36.15324547
Cameroon,CMR,2001,33.64551356
Cameroon,CMR,2007,33.03795428
Cameroon,CMR,2014,35.04315275
Canada,CAN,1971,26.99490866
Canada,CAN,1975,24.63702359
Canada,CAN,1981,24.26742889
Canada,CAN,1987,23.84489379
Canada,CAN,1991,23.60106155
Canada,CAN,1994,23.61736872
Canada,CAN,1997,23.82320412
Canada,CAN,1998,25.30985531
Canada,CAN,2000,25.52432952
Canada,CAN,2004,25.57085496
Canada,CAN,2007,26.01467095
Canada,CAN,2010,25.73192666
Canada,CAN,2012,25.16616422
Canada,CAN,2013,25.11784246
Canada,CAN,2014,25.15266713
Canada,CAN,2015,25.47064128
Canada,CAN,2016,24.9651568
Canada,CAN,2017,25.31758311
Cape Verde,CPV,2001,42.63956881
Cape Verde,CPV,2007,37.14029911
Cape Verde,CPV,2015,32.30222161
Central African Republic,CAF,1992,47.73327467
Central African Republic,CAF,2008,46.21854362
Chad,TCD,2003,30.71005215
Chad,TCD,2011,32.43533581
Chad,TCD,2018,29.70175184
Chile,CHL,1987,45.39136898
Chile,CHL,1990,47.0505118
Chile,CHL,1992,45.19586476
Chile,CHL,1994,45.90671
Chile,CHL,1996,44.4273982
Chile,CHL,1998,44.97181069
Chile,CHL,2000,42.58189156
Chile,CHL,2003,41.35426186
Chile,CHL,2006,37.89333988
Chile,CHL,2009,38.21948783
Chile,CHL,2011,37.29306711
Chile,CHL,2013,37.37352455
Chile,CHL,2015,36.05857098
Chile,CHL,2017,36.3419035
Chile,CHL,2020,35.79744685
China,CHN,1981,21.73496971
China,CHN,1984,21.30304005
China,CHN,1987,22.43456527
China,CHN,1990,25.79524155
China,CHN,1993,26.62299082
China,CHN,1996,27.29834544
China,CHN,1999,29.38699711
China,CHN,2002,31.43083138
China,CHN,2005,30.8615603
China,CHN,2008,31.96597316
China,CHN,2010,32.63252941
China,CHN,2011,31.81848402
China,CHN,2012,31.54291419
China,CHN,2013,30.28172051
China,CHN,2014,29.69338778
China,CHN,2015,29.41269842
China,CHN,2016,29.35065033
China,CHN,2017,29.86473498
China,CHN,2018,29.4341079
China,CHN,2019,29.49635118
China - rural,,1981,20.51910897
China - rural,,1984,22.13233519
China - rural,,1987,23.54280962
China - rural,,1990,26.04964635
China - rural,,1993,27.84329396
China - rural,,1996,27.57246444
China - rural,,1999,28.86995722
China - rural,,2002,30.8499156
China - rural,,2005,28.71254913
China - rural,,2008,31.48128027
China - rural,,2010,32.7884317
China - rural,,2011,30.76360449
China - rural,,2012,31.45990271
China - rural,,2013,27.00304157
China - rural,,2014,26.72751277
China - rural,,2015,26.43529266
China - rural,,2016,26.38983773
China - rural,,2017,27.3673315
China - rural,,2018,26.77589554
China - rural,,2019,26.44174433
China - urban,,1981,17.18140967
China - urban,,1984,16.9857886
China - urban,,1987,18.09704743
China - urban,,1990,21.06897055
China - urban,,1993,23.17744692
China - urban,,1996,23.49144523
China - urban,,1999,24.88351176
China - urban,,2002,26.38934693
China - urban,,2005,27.33671231
China - urban,,2008,27.92072808
China - urban,,2010,28.40582966
China - urban,,2011,28.33427957
China - urban,,2012,28.01667246
China - urban,,2013,28.388321
China - urban,,2014,27.90192792
China - urban,,2015,27.85798163
China - urban,,2016,27.80210641
China - urban,,2017,28.33927359
China - urban,,2018,28.1269869
China - urban,,2019,28.46696608
Colombia,COL,1992,40.4583569
Colombia,COL,1996,45.63734616
Colombia,COL,1999,46.90258743
Colombia,COL,2000,47.00824128
Colombia,COL,2001,46.32220851
Colombia,COL,2002,45.18826934
Colombia,COL,2003,42.78068424
Colombia,COL,2004,44.52738101
Colombia,COL,2005,43.19103379
Colombia,COL,2008,43.69644071
Colombia,COL,2009,42.91420794
Colombia,COL,2010,43.41359743
Colombia,COL,2011,42.35840835
Colombia,COL,2012,41.28301127
Colombia,COL,2013,41.36878414
Colombia,COL,2014,41.36827408
Colombia,COL,2015,39.9430277
Colombia,COL,2016,39.78618556
Colombia,COL,2017,38.98341185
Colombia,COL,2018,39.66259568
Colombia,COL,2019,40.31312538
Colombia,COL,2020,42.15697557
Colombia - urban,,1980,47.44688149
Colombia - urban,,1988,41.20633704
Colombia - urban,,1989,42.31239673
Colombia - urban,,1991,39.49405134
Comoros,COM,2004,48.09803699
Comoros,COM,2014,33.66674908
Congo,COG,2005,36.85238499
Congo,COG,2011,37.92931734
Costa Rica,CRI,1981,33.73238049
Costa Rica,CRI,1986,23.05358663
Costa Rica,CRI,1989,33.25066081
Costa Rica,CRI,1990,33.00320911
Costa Rica,CRI,1991,34.29706835
Costa Rica,CRI,1992,33.73518665
Costa Rica,CRI,1993,33.7066672
Costa Rica,CRI,1994,35.25282091
Costa Rica,CRI,1995,33.76418926
Costa Rica,CRI,1996,34.30032868
Costa Rica,CRI,1997,33.84728185
Costa Rica,CRI,1998,34.01960554
Costa Rica,CRI,1999,35.87721068
Costa Rica,CRI,2000,35.67903091
Costa Rica,CRI,2001,39.69909886
Costa Rica,CRI,2002,40.43355204
Costa Rica,CRI,2003,36.99922715
Costa Rica,CRI,2004,36.57669831
Costa Rica,CRI,2005,35.88492671
Costa Rica,CRI,2006,38.27769134
Costa Rica,CRI,2007,38.90459166
Costa Rica,CRI,2008,37.66206094
Costa Rica,CRI,2009,39.4303492
Costa Rica,CRI,2010,36.77480038
Costa Rica,CRI,2011,36.91376018
Costa Rica,CRI,2012,36.61206732
Costa Rica,CRI,2013,36.9657529
Costa Rica,CRI,2014,36.92475453
Costa Rica,CRI,2015,36.80413578
Costa Rica,CRI,2016,37.27723262
Costa Rica,CRI,2017,36.96249291
Costa Rica,CRI,2018,36.34806564
Costa Rica,CRI,2019,36.65763581
Costa Rica,CRI,2020,36.98987851
Cote d'Ivoire,CIV,1985,35.60782737
Cote d'Ivoire,CIV,1986,29.53429956
Cote d'Ivoire,CIV,1987,32.03331022
Cote d'Ivoire,CIV,1988,28.33284166
Cote d'Ivoire,CIV,1992,29.51725565
Cote d'Ivoire,CIV,1995,32.78381856
Cote d'Ivoire,CIV,1998,30.08094026
Cote d'Ivoire,CIV,2002,32.71213417
Cote d'Ivoire,CIV,2008,32.64326659
Cote d'Ivoire,CIV,2015,31.93143421
Cote d'Ivoire,CIV,2018,28.99618537
Croatia,HRV,1998,22.48067582
Croatia,HRV,1999,22.84109367
Croatia,HRV,2000,25.05818245
Croatia,HRV,2001,24.58605066
Croatia,HRV,2004,23.59093353
Croatia,HRV,2008,27.87738465
Croatia,HRV,2009,26.73993095
Croatia,HRV,2010,22.49222175
Croatia,HRV,2011,23.72699378
Croatia,HRV,2012,23.86571015
Croatia,HRV,2013,23.70085805
Croatia,HRV,2014,23.97025097
Croatia,HRV,2015,23.23242373
Croatia,HRV,2016,23.20623102
Croatia,HRV,2017,22.8506888
Croatia,HRV,2018,22.72488437
Croatia,HRV,2019,22.23529989
Cyprus,CYP,2004,24.29068693
Cyprus,CYP,2005,24.86584006
Cyprus,CYP,2006,26.02703326
Cyprus,CYP,2007,25.46617938
Cyprus,CYP,2008,26.20807019
Cyprus,CYP,2009,26.18504796
Cyprus,CYP,2010,25.69694932
Cyprus,CYP,2011,26.69864649
Cyprus,CYP,2012,28.04389909
Cyprus,CYP,2013,30.87124615
Cyprus,CYP,2014,28.82984192
Cyprus,CYP,2015,27.45687637
Cyprus,CYP,2016,26.81229638
Cyprus,CYP,2017,25.48354412
Cyprus,CYP,2018,27.18368039
Cyprus,CYP,2019,25.48900503
Czechia,CZE,1992,19.57751442
Czechia,CZE,1993,23.63183219
Czechia,CZE,1996,22.13857611
Czechia,CZE,2002,22.54428079
Czechia,CZE,2004,23.10654472
Czechia,CZE,2005,22.93940884
Czechia,CZE,2006,22.62029158
Czechia,CZE,2007,22.32055545
Czechia,CZE,2008,22.88448947
Czechia,CZE,2009,22.36771427
Czechia,CZE,2010,22.44896853
Czechia,CZE,2011,22.23894703
Czechia,CZE,2012,22.16931507
Czechia,CZE,2013,22.59282069
Czechia,CZE,2014,22.14519936
Czechia,CZE,2015,22.1298757
Czechia,CZE,2016,21.93964934
Czechia,CZE,2017,21.45550682
Czechia,CZE,2018,21.51091414
Czechia,CZE,2019,21.4917253
Democratic Republic of Congo,COD,2004,32.3958565
Democratic Republic of Congo,COD,2012,31.99392234
Denmark,DNK,1987,21.61107948
Denmark,DNK,1992,20.51795693
Denmark,DNK,1995,19.80455623
Denmark,DNK,2000,20.14654696
Denmark,DNK,2003,21.38372769
Denmark,DNK,2004,20.65321461
Denmark,DNK,2005,20.96280122
Denmark,DNK,2006,21.75876706
Denmark,DNK,2007,22.10770802
Denmark,DNK,2008,21.0430054
Denmark,DNK,2009,21.77958432
Denmark,DNK,2010,22.53283266
Denmark,DNK,2011,22.71312497
Denmark,DNK,2012,23.13577231
Denmark,DNK,2013,23.6878071
Denmark,DNK,2014,23.56351371
Denmark,DNK,2015,23.83117073
Denmark,DNK,2016,23.6725464
Denmark,DNK,2017,24.04075071
Denmark,DNK,2018,23.5073617
Denmark,DNK,2019,23.51792245
Djibouti,DJI,2002,30.77415015
Djibouti,DJI,2012,34.38605069
Djibouti,DJI,2013,34.0986045
Djibouti,DJI,2017,32.30983302
Dominican Republic,DOM,1986,36.1051525
Dominican Republic,DOM,1989,39.81056522
Dominican Republic,DOM,1992,41.94765979
Dominican Republic,DOM,1996,36.49953356
Dominican Republic,DOM,1997,37.86303949
Dominican Republic,DOM,2000,40.22406075
Dominican Republic,DOM,2001,39.20510025
Dominican Republic,DOM,2002,38.33244839
Dominican Republic,DOM,2003,41.74822025
Dominican Republic,DOM,2004,41.70463255
Dominican Republic,DOM,2005,38.95179735
Dominican Republic,DOM,2006,41.19467115
Dominican Republic,DOM,2007,38.60413045
Dominican Republic,DOM,2008,37.79206274
Dominican Republic,DOM,2009,38.71963868
Dominican Republic,DOM,2010,36.54360932
Dominican Republic,DOM,2011,37.49654396
Dominican Republic,DOM,2012,36.04954209
Dominican Republic,DOM,2013,37.9217275
Dominican Republic,DOM,2014,33.37900418
Dominican Republic,DOM,2015,34.85187107
Dominican Republic,DOM,2016,35.3637726
Dominican Republic,DOM,2017,33.50158007
Dominican Republic,DOM,2018,35.15348111
Dominican Republic,DOM,2019,33.10777501
Dominican Republic,DOM,2020,30.45242149
Ecuador,ECU,1994,42.46872948
Ecuador,ECU,1999,47.8509113
Ecuador,ECU,2000,45.91534297
Ecuador,ECU,2003,42.01947018
Ecuador,ECU,2004,42.43241057
Ecuador,ECU,2005,41.14371203
Ecuador,ECU,2006,41.1189518
Ecuador,ECU,2007,42.02268115
Ecuador,ECU,2008,38.11322654
Ecuador,ECU,2009,37.11332262
Ecuador,ECU,2010,37.53977107
Ecuador,ECU,2011,34.11788146
Ecuador,ECU,2012,34.61666579
Ecuador,ECU,2013,35.68076006
Ecuador,ECU,2014,34.3986126
Ecuador,ECU,2015,34.90309782
Ecuador,ECU,2016,34.26764791
Ecuador,ECU,2017,33.8040947
Ecuador,ECU,2018,34.41619316
Ecuador,ECU,2019,34.48763692
Ecuador,ECU,2020,36.04785139
Ecuador - urban,,1987,38.44244739
Ecuador - urban,,1995,40.02924036
Ecuador - urban,,1998,37.85985953
Egypt,EGY,1990,26.73210285
Egypt,EGY,1995,26.0440591
Egypt,EGY,1999,28.34170431
Egypt,EGY,2004,27.43802
Egypt,EGY,2008,26.99343465
Egypt,EGY,2010,26.07511159
Egypt,EGY,2012,24.74718009
Egypt,EGY,2015,27.78239469
Egypt,EGY,2017,26.91669952
El Salvador,SLV,1991,41.3855839
El Salvador,SLV,1995,38.81009827
El Salvador,SLV,1996,39.35521491
El Salvador,SLV,1998,40.52918178
El Salvador,SLV,1999,38.64789406
El Salvador,SLV,2000,38.97702617
El Salvador,SLV,2001,38.60446466
El Salvador,SLV,2002,38.83234545
El Salvador,SLV,2003,37.26456487
El Salvador,SLV,2004,35.63806329
El Salvador,SLV,2005,36.78020541
El Salvador,SLV,2006,35.56170053
El Salvador,SLV,2007,35.71319952
El Salvador,SLV,2008,36.12237598
El Salvador,SLV,2009,35.97668029
El Salvador,SLV,2010,33.23034853
El Salvador,SLV,2011,32.75364928
El Salvador,SLV,2012,32.58991644
El Salvador,SLV,2013,34.2351925
El Salvador,SLV,2014,32.15091829
El Salvador,SLV,2015,31.82663851
El Salvador,SLV,2016,30.65293401
El Salvador,SLV,2017,29.14263683
El Salvador,SLV,2018,29.38977835
El Salvador,SLV,2019,29.79839701
Estonia,EST,1993,31.34571704
Estonia,EST,1995,22.71059038
Estonia,EST,1998,29.76387527
Estonia,EST,2000,27.63384342
Estonia,EST,2001,27.89887381
Estonia,EST,2002,27.31359197
Estonia,EST,2003,26.83854198
Estonia,EST,2004,27.37634582
Estonia,EST,2005,26.16935377
Estonia,EST,2006,26.85871119
Estonia,EST,2007,24.030481
Estonia,EST,2008,24.93063734
Estonia,EST,2009,24.42515059
Estonia,EST,2010,24.28198911
Estonia,EST,2011,24.75652996
Estonia,EST,2012,25.18819586
Estonia,EST,2013,26.60895006
Estonia,EST,2014,26.27465046
Estonia,EST,2015,24.41851025
Estonia,EST,2016,23.11425732
Estonia,EST,2017,22.48676871
Estonia,EST,2018,22.44059196
Estonia,EST,2019,23.30927499
Eswatini,SWZ,1994,49.53159354
Eswatini,SWZ,2000,44.13340738
Eswatini,SWZ,2009,39.98851853
Eswatini,SWZ,2016,42.73134934
Ethiopia,ETH,1995,38.04789942
Ethiopia,ETH,1999,25.48259774
Ethiopia,ETH,2004,25.63695296
Ethiopia,ETH,2010,27.39899845
Ethiopia,ETH,2015,28.46475176
Ethiopia - rural,,1981,27.51651089
Fiji,FJI,2002,29.62382259
Fiji,FJI,2008,32.90755924
Fiji,FJI,2013,29.70127963
Fiji,FJI,2019,24.23538659
Finland,FIN,1987,19.1962451
Finland,FIN,1991,19.62491433
Finland,FIN,1995,20.54394745
Finland,FIN,2000,22.74558671
Finland,FIN,2003,23.0225545
Finland,FIN,2004,23.23791192
Finland,FIN,2005,22.97534762
Finland,FIN,2006,22.98359623
Finland,FIN,2007,23.29383232
Finland,FIN,2008,22.9553779
Finland,FIN,2009,22.58235561
Finland,FIN,2010,22.54591479
Finland,FIN,2011,22.75982359
Finland,FIN,2012,22.28667945
Finland,FIN,2013,22.25097654
Finland,FIN,2014,22.01603061
Finland,FIN,2015,22.40037113
Finland,FIN,2016,22.43306839
Finland,FIN,2017,22.64917064
Finland,FIN,2018,22.59469393
Finland,FIN,2019,22.9664866
France,FRA,1978,27.154868
France,FRA,1984,28.88688406
France,FRA,1989,24.72925281
France,FRA,1994,25.6032077
France,FRA,2000,24.35883386
France,FRA,2003,25.16881964
France,FRA,2004,24.49924494
France,FRA,2005,23.93492659
France,FRA,2006,23.50885842
France,FRA,2007,26.2464575
France,FRA,2008,26.68675834
France,FRA,2009,26.10715661
France,FRA,2010,27.13489205
France,FRA,2011,26.93661001
France,FRA,2012,26.87858779
France,FRA,2013,26.39112199
France,FRA,2014,26.07838892
